time    min max avg
1		9	46	17.9
2		7	16	10.7
3		5	20	10.7
4		8	29	12.9
5		8	19	13.4
6		5	18	11.8
7		4	21	10.1
8		7	15	10.3
9		5	16	8.7
10		3	15	8.3
11		5	24	10
12		6	40	14.7
13		4	35	11.4
14		5	29	10.3
15		5	32	10.4
16		4	13	7.5
17		3	33	11
18		4	35	11
19		6	46	17.3
20		6	20	11.3
21		5	29	13.6
22		5	29	12
23		5	31	11.4
24		5	38	13.9
25		6	35	16.3
26		5	18	11.4
27		8	52	20.5
28		4	42	13.4
29		4	34	14.5
30		4	20	11.1
31		6	26	12.4
32		5	30	12.6
33		4	16	9.9
34		5	16	9.5
35		4	22	10.2
36		6	17	10.7
37		5	27	12.3
38		6	18	11
39		6	24	11.3
40		7	35	13.9
41		6	34	14.8
42		4	31	10.7
43		5	25	11.5
44		4	18	9.4
45		4	37	12.1
46		4	25	12.8
47		3	26	12.5
48		5	18	10.7
49		5	45	14.7
50		4	20	11.5
51		6	30	12.5
52		7	30	14.7
53		5	22	10.4
54		5	24	11.4
55		5	32	13.1
56		4	20	11
57		4	27	13.1
58		5	18	10.9
59		5	27	11.8
60		6	26	12.3
61		6	20	10.2
62		6	16	9.9
63		6	28	11.7
64		5	11	8.3
65		3	28	10
66		6	19	10.9
67		5	23	11.3
68		4	31	13.1
69		5	26	11.6
70		5	40	13.4
71		5	17	9.7
72		4	13	8.8
73		5	15	9.2
74		4	27	10.6
75		6	26	10.6
76		5	20	9.7
77		4	39	11.8
78		6	23	10.2
79		4	18	8.4
80		6	18	9.2
81		4	23	9.7
82		6	13	8
83		5	39	13.3
84		5	36	12.1
85		5	16	9.6
86		5	17	8.9
87		6	13	9.4
88		3	14	9.2
89		6	12	8.9
90		5	17	9.8
91		5	16	8.4
92		6	36	10.5
93		5	13	8.4
94		5	36	11.3
95		5	12	8.3
96		7	13	9.2
97		5	15	8.6
98		3	18	8.3
99		6	14	9.2
100		5	34	11.5
