[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 88.0-89.0 sec  66.5 KBytes   544 Kbits/sec
[SUM] 89.0-90.0 sec  92.7 KBytes   760 Kbits/sec
[SUM] 90.0-91.0 sec  70.7 KBytes   579 Kbits/sec
[SUM] 91.0-92.0 sec  78.1 KBytes   639 Kbits/sec
[SUM] 92.0-93.0 sec  22.8 KBytes   187 Kbits/sec
[SUM] 93.0-94.0 sec   233 KBytes  1.91 Mbits/sec
[SUM] 94.0-95.0 sec   184 KBytes  1.51 Mbits/sec
[SUM] 95.0-96.0 sec  85.7 KBytes   702 Kbits/sec
[SUM] 96.0-97.0 sec   143 KBytes  1.17 Mbits/sec
[SUM] 97.0-98.0 sec  48.7 KBytes   399 Kbits/sec
[SUM] 98.0-99.0 sec  82.6 KBytes   677 Kbits/sec
[SUM] 99.0-100.0 sec  48.4 KBytes   397 Kbits/sec
[SUM] 100.0-101.0 sec   139 KBytes  1.14 Mbits/sec
[SUM] 101.0-102.0 sec  48.7 KBytes   399 Kbits/sec
[SUM] 102.0-103.0 sec   115 KBytes   939 Kbits/sec
[SUM] 103.0-104.0 sec  44.0 KBytes   360 Kbits/sec
[SUM] 104.0-105.0 sec   128 KBytes  1.05 Mbits/sec
[SUM] 105.0-106.0 sec   129 KBytes  1.06 Mbits/sec
[SUM] 106.0-107.0 sec  25.7 KBytes   211 Kbits/sec
[SUM] 107.0-108.0 sec  88.1 KBytes   722 Kbits/sec
[SUM] 108.0-109.0 sec   187 KBytes  1.53 Mbits/sec
[SUM] 109.0-110.0 sec  86.3 KBytes   707 Kbits/sec
[SUM] 110.0-111.0 sec   172 KBytes  1.41 Mbits/sec
[SUM] 111.0-112.0 sec   105 KBytes   863 Kbits/sec
[SUM] 112.0-113.0 sec  36.5 KBytes   299 Kbits/sec
[SUM] 113.0-114.0 sec  92.4 KBytes   757 Kbits/sec
[SUM] 114.0-115.0 sec  89.3 KBytes   732 Kbits/sec
[SUM] 115.0-116.0 sec  74.5 KBytes   610 Kbits/sec
[SUM] 116.0-117.0 sec   183 KBytes  1.50 Mbits/sec
[SUM] 117.0-118.0 sec  70.9 KBytes   581 Kbits/sec
[SUM] 118.0-119.0 sec   124 KBytes  1.02 Mbits/sec
[SUM] 119.0-120.0 sec  89.1 KBytes   730 Kbits/sec
[SUM] 120.0-121.0 sec   135 KBytes  1.10 Mbits/sec
[SUM] 121.0-122.0 sec  62.6 KBytes   513 Kbits/sec
[SUM] 122.0-123.0 sec   132 KBytes  1.08 Mbits/sec
[SUM] 123.0-124.0 sec   109 KBytes   892 Kbits/sec
[SUM] 124.0-125.0 sec  19.1 KBytes   157 Kbits/sec
[SUM] 125.0-126.0 sec  44.7 KBytes   366 Kbits/sec
[SUM] 126.0-127.0 sec  23.4 KBytes   191 Kbits/sec
[SUM] 127.0-128.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 128.0-129.0 sec  67.9 KBytes   556 Kbits/sec
[SUM] 129.0-130.0 sec   109 KBytes   894 Kbits/sec
[SUM] 130.0-131.0 sec  94.5 KBytes   774 Kbits/sec
[SUM] 131.0-132.0 sec   165 KBytes  1.35 Mbits/sec
[SUM] 132.0-133.0 sec  13.4 KBytes   110 Kbits/sec
[SUM] 133.0-134.0 sec  68.8 KBytes   564 Kbits/sec
[SUM] 134.0-135.0 sec  57.7 KBytes   473 Kbits/sec
[SUM] 135.0-136.0 sec  47.0 KBytes   385 Kbits/sec
[SUM] 136.0-137.0 sec   161 KBytes  1.32 Mbits/sec
[SUM] 137.0-138.0 sec  25.9 KBytes   212 Kbits/sec
